Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
cancel_order,Chrome 71.0.3578.98,,2019-01-31 11:04:50,2019-01-31 11:05:09,19.649s,FAILED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 11:04:50,2019-01-31 11:05:02,12.033s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 11:04:50,2019-01-31 11:04:57,7.180s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 11:04:57,2019-01-31 11:04:59,2.125s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 11:04:59,2019-01-31 11:05:00,0.152s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 11:05:00,2019-01-31 11:05:02,2.264s,PASSED
,,,,,,
Test Cases/ssg_cancel,Chrome 71.0.3578.98,,2019-01-31 11:05:02,2019-01-31 11:05:08,6.224s,FAILED
"navigateToUrl(""https://qa-pay.ssg.com/myssg/orderInfo.ssg?viewType=Ssg"")",Chrome 71.0.3578.98,,2019-01-31 11:05:02,2019-01-31 11:05:07,4.551s,PASSED
"click(findTestObject(""Object Repository/cancel/button_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:05:07,2019-01-31 11:05:07,0.733s,PASSED
"click(findTestObject(""Object Repository/cancel/label_""))",Chrome 71.0.3578.98,,2019-01-31 11:05:07,2019-01-31 11:05:08,0.187s,PASSED
"waitForElementVisible(findTestObject(""cancel/label_ (1)""), 5)",Chrome 71.0.3578.98,,2019-01-31 11:05:08,2019-01-31 11:05:08,0.092s,PASSED
"click(findTestObject(""Object Repository/cancel/label_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:05:08,2019-01-31 11:05:08,0.399s,FAILED
