Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
order,Chrome 71.0.3578.98,,2019-01-31 11:07:56,2019-01-31 11:08:23,26.515s,PASSED
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 11:07:56,2019-01-31 11:08:09,12.371s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 11:07:57,2019-01-31 11:08:04,7.147s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 11:08:04,2019-01-31 11:08:06,2.522s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 11:08:06,2019-01-31 11:08:06,0.164s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 11:08:06,2019-01-31 11:08:09,2.242s,PASSED
,,,,,,
Test Cases/ssg_order,Chrome 71.0.3578.98,,2019-01-31 11:08:09,2019-01-31 11:08:21,12.789s,PASSED
"navigateToUrl(""http://qa-emart.ssg.com/item/itemView.ssg?itemId=0000008026713&siteNo=6001&salestrNo=2034"")",Chrome 71.0.3578.98,,2019-01-31 11:08:09,2019-01-31 11:08:15,6.065s,PASSED
"click(findTestObject(""Object Repository/order/a__1""))",Chrome 71.0.3578.98,바로구매 버튼 클릭,2019-01-31 11:08:15,2019-01-31 11:08:17,2.093s,PASSED
"click(findTestObject(""Object Repository/order/td_800g ()""))",Chrome 71.0.3578.98,,2019-01-31 11:08:17,2019-01-31 11:08:17,0.116s,PASSED
"click(findTestObject(""order/input_select_day_time_css""))",Chrome 71.0.3578.98,쓱배송일자 선택,2019-01-31 11:08:17,2019-01-31 11:08:17,0.098s,PASSED
"click(findTestObject(""Object Repository/order/input_ _shortgProcMthdCdAll_1""))",Chrome 71.0.3578.98,,2019-01-31 11:08:17,2019-01-31 11:08:17,0.111s,PASSED
"click(findTestObject(""Object Repository/order/button__1""))",Chrome 71.0.3578.98,,2019-01-31 11:08:17,2019-01-31 11:08:19,1.581s,PASSED
"click(findTestObject(""Object Repository/order/button__2""))",Chrome 71.0.3578.98,,2019-01-31 11:08:19,2019-01-31 11:08:19,0.152s,PASSED
"click(findTestObject(""Object Repository/order/label_""))",Chrome 71.0.3578.98,,2019-01-31 11:08:19,2019-01-31 11:08:19,0.091s,PASSED
"click(findTestObject(""Object Repository/order/button_0  0""))",Chrome 71.0.3578.98,,2019-01-31 11:08:19,2019-01-31 11:08:21,2.094s,PASSED
"ord_no = getText(findTestObject(""order/ord_no_txt""))",Chrome 71.0.3578.98,,2019-01-31 11:08:21,2019-01-31 11:08:21,0.047s,PASSED
"ord_no = ord_no.replace(""주문번호는 "", """")",Chrome 71.0.3578.98,,2019-01-31 11:08:21,2019-01-31 11:08:21,0.001s,PASSED
"ord_no = ord_no.replace(""번"", """")",Chrome 71.0.3578.98,,2019-01-31 11:08:21,2019-01-31 11:08:21,0.001s,PASSED
out.println(ord_no),Chrome 71.0.3578.98,,2019-01-31 11:08:21,2019-01-31 11:08:21,0.011s,PASSED
