Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
order_integrate,Chrome 71.0.3578.98,,2019-01-31 11:25:23,2019-01-31 11:26:08,44.939s,ERROR
,,,,,,
Test Cases/ssg_login,Chrome 71.0.3578.98,,2019-01-31 11:25:23,2019-01-31 11:25:39,15.402s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 11:25:23,2019-01-31 11:25:32,8.014s,PASSED
"navigateToUrl(""http://qa-www.ssg.com/"")",Chrome 71.0.3578.98,,2019-01-31 11:25:32,2019-01-31 11:25:36,4.373s,PASSED
"txt_login_btn = getText(findTestObject(""order/a_""))",Chrome 71.0.3578.98,,2019-01-31 11:25:36,2019-01-31 11:25:36,0.189s,PASSED
"if (txt_login_btn == ""로그인"")",Chrome 71.0.3578.98,,2019-01-31 11:25:36,2019-01-31 11:25:39,2.440s,PASSED
,,,,,,
Test Cases/ssg_order,Chrome 71.0.3578.98,,2019-01-31 11:25:39,2019-01-31 11:25:53,14.839s,PASSED
"navigateToUrl(""http://qa-emart.ssg.com/item/itemView.ssg?itemId=0000008026713&siteNo=6001&salestrNo=2034"")",Chrome 71.0.3578.98,,2019-01-31 11:25:39,2019-01-31 11:25:47,7.983s,PASSED
"click(findTestObject(""Object Repository/order/a__1""))",Chrome 71.0.3578.98,바로구매 버튼 클릭,2019-01-31 11:25:47,2019-01-31 11:25:49,2.205s,PASSED
"click(findTestObject(""Object Repository/order/td_800g ()""))",Chrome 71.0.3578.98,,2019-01-31 11:25:49,2019-01-31 11:25:49,0.089s,PASSED
"click(findTestObject(""order/input_select_day_time_css""))",Chrome 71.0.3578.98,쓱배송일자 선택,2019-01-31 11:25:49,2019-01-31 11:25:49,0.090s,PASSED
"click(findTestObject(""Object Repository/order/input_ _shortgProcMthdCdAll_1""))",Chrome 71.0.3578.98,,2019-01-31 11:25:49,2019-01-31 11:25:49,0.098s,PASSED
"click(findTestObject(""Object Repository/order/button__1""))",Chrome 71.0.3578.98,,2019-01-31 11:25:49,2019-01-31 11:25:51,1.396s,PASSED
"click(findTestObject(""Object Repository/order/button__2""))",Chrome 71.0.3578.98,,2019-01-31 11:25:51,2019-01-31 11:25:51,0.184s,PASSED
"click(findTestObject(""Object Repository/order/label_""))",Chrome 71.0.3578.98,,2019-01-31 11:25:51,2019-01-31 11:25:51,0.107s,PASSED
"click(findTestObject(""Object Repository/order/button_0  0""))",Chrome 71.0.3578.98,,2019-01-31 11:25:51,2019-01-31 11:25:53,2.222s,PASSED
"ord_no = getText(findTestObject(""order/ord_no_txt""))",Chrome 71.0.3578.98,,2019-01-31 11:25:53,2019-01-31 11:25:53,0.061s,PASSED
"ord_no = ord_no.replace(""주문번호는 "", """")",Chrome 71.0.3578.98,,2019-01-31 11:25:53,2019-01-31 11:25:53,0.002s,PASSED
"ord_no = ord_no.replace(""번"", """")",Chrome 71.0.3578.98,,2019-01-31 11:25:53,2019-01-31 11:25:53,0.001s,PASSED
out.println(ord_no),Chrome 71.0.3578.98,,2019-01-31 11:25:53,2019-01-31 11:25:53,0.008s,PASSED
,,,,,,
Test Cases/search_ord_from_bo,Chrome 71.0.3578.98,,2019-01-31 11:25:53,2019-01-31 11:26:07,13.237s,ERROR
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-31 11:25:54,2019-01-31 11:26:02,7.959s,PASSED
"navigateToUrl(""https://qa-bo.ssgadm.com/authentication/login.ssg"")",Chrome 71.0.3578.98,,2019-01-31 11:26:02,2019-01-31 11:26:02,0.655s,PASSED
"setText(findTestObject(""picking_dirc_admin/input__userId""), ""140179"")",Chrome 71.0.3578.98,,2019-01-31 11:26:02,2019-01-31 11:26:02,0.169s,PASSED
"setEncryptedText(findTestObject(""search_ord_from_bo/input__userPwd (1)""), ""w11JizTPrrG9r5NfjDZfNA=="")",Chrome 71.0.3578.98,,2019-01-31 11:26:02,2019-01-31 11:26:03,0.154s,PASSED
"click(findTestObject(""search_ord_from_bo/a_LOGIN (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:26:03,2019-01-31 11:26:03,0.090s,PASSED
"click(findTestObject(""search_ord_from_bo/a_ (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:26:03,2019-01-31 11:26:04,1.382s,PASSED
"click(findTestObject(""search_ord_from_bo/a_E-Infra (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:26:04,2019-01-31 11:26:05,0.627s,PASSED
"click(findTestObject(""search_ord_from_bo/b_E (1)""))",Chrome 71.0.3578.98,,2019-01-31 11:26:05,2019-01-31 11:26:06,1.255s,PASSED
"setText(findTestObject(""search_ord_from_bo/input__salestrNm""), ""성수점"")",Chrome 71.0.3578.98,,2019-01-31 11:26:06,2019-01-31 11:26:06,0.298s,PASSED
"selectOptionByValue(findTestObject(""search_ord_from_bo/select_(2034)""), ""2034|성수점"", false)",Chrome 71.0.3578.98,,2019-01-31 11:26:06,2019-01-31 11:26:06,0.203s,PASSED
"selectOptionByValue(findTestObject(""search_ord_from_bo/select_""), ""20"", true)",Chrome 71.0.3578.98,,2019-01-31 11:26:06,2019-01-31 11:26:07,0.213s,PASSED
"setText(findTestObject(""Page_E  /textarea_WET _searchCommValueT""), ord_no)",Chrome 71.0.3578.98,,2019-01-31 11:26:07,2019-01-31 11:26:07,0.011s,ERROR
